Image,Rights,Caption
urn:cite:ecod:codsang570.csg-0570_084,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 84r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 84."
urn:cite:ecod:codsang570.csg-0570_085,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 85r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 85."
urn:cite:ecod:codsang570.csg-0570_086,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 86r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 86."
urn:cite:ecod:codsang570.csg-0570_087,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 87r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 87."
urn:cite:ecod:codsang570.csg-0570_088,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 88r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 88."
urn:cite:ecod:codsang570.csg-0570_089,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 89r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 89."
urn:cite:ecod:codsang570.csg-0570_090,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 90r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 90."
urn:cite:ecod:codsang570.csg-0570_091,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 91r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 91."
urn:cite:ecod:codsang570.csg-0570_092,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 92r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 92."
urn:cite:ecod:codsang570.csg-0570_093,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 93r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 93."
urn:cite:ecod:codsang570.csg-0570_094,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 94r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 94."
urn:cite:ecod:codsang570.csg-0570_095,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 95r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 95."
urn:cite:ecod:codsang570.csg-0570_096,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 96r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 96."
urn:cite:ecod:codsang570.csg-0570_097,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 97r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 97."
urn:cite:ecod:codsang570.csg-0570_098,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 98r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 98."
urn:cite:ecod:codsang570.csg-0570_099,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 99r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 99."
urn:cite:ecod:codsang570.csg-0570_100,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 100r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 100."
urn:cite:ecod:codsang570.csg-0570_101,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 101r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 101."
urn:cite:ecod:codsang570.csg-0570_102,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 102r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 102."
urn:cite:ecod:codsang570.csg-0570_103,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 103r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 103."
urn:cite:ecod:codsang570.csg-0570_104,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 104r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 104."
urn:cite:ecod:codsang570.csg-0570_105,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 105r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 105."
urn:cite:ecod:codsang570.csg-0570_106,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 106r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 106."
urn:cite:ecod:codsang570.csg-0570_107,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 107r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 107."
urn:cite:ecod:codsang570.csg-0570_108,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 108r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 108."
urn:cite:ecod:codsang570.csg-0570_109,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 109r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 109."
urn:cite:ecod:codsang570.csg-0570_110,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 110r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 110."
urn:cite:ecod:codsang570.csg-0570_111,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 111r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 111."
urn:cite:ecod:codsang570.csg-0570_112,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 112r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 112."
urn:cite:ecod:codsang570.csg-0570_113,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 113r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 113."
urn:cite:ecod:codsang570.csg-0570_114,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 114r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 114."
urn:cite:ecod:codsang570.csg-0570_115,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 115r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 115."
urn:cite:ecod:codsang570.csg-0570_116,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 116r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 116."
urn:cite:ecod:codsang570.csg-0570_117,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 117r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 117."
urn:cite:ecod:codsang570.csg-0570_118,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 118r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 118."
urn:cite:ecod:codsang570.csg-0570_119,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 119r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 119."
urn:cite:ecod:codsang570.csg-0570_120,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 120r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 120."
urn:cite:ecod:codsang570.csg-0570_121,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 121r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 121."
urn:cite:ecod:codsang570.csg-0570_122,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 122r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 122."
urn:cite:ecod:codsang570.csg-0570_123,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 123r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 123."
urn:cite:ecod:codsang570.csg-0570_124,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 124r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 124."
urn:cite:ecod:codsang570.csg-0570_125,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 125r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 125."
urn:cite:ecod:codsang570.csg-0570_126,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 126r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 126."
urn:cite:ecod:codsang570.csg-0570_127,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 127r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 127."
urn:cite:ecod:codsang570.csg-0570_128,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 128r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 128."
urn:cite:ecod:codsang570.csg-0570_129,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 129r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 129."
urn:cite:ecod:codsang570.csg-0570_130,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 130r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 130."
urn:cite:ecod:codsang570.csg-0570_131,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 131r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 131."
urn:cite:ecod:codsang570.csg-0570_132,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 132r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 132."
urn:cite:ecod:codsang570.csg-0570_133,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 133r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 133."
urn:cite:ecod:codsang570.csg-0570_134,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 134r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 134."
urn:cite:ecod:codsang570.csg-0570_135,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 135r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 135."
urn:cite:ecod:codsang570.csg-0570_136,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 136r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 136."
urn:cite:ecod:codsang570.csg-0570_137,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 137r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 137."
urn:cite:ecod:codsang570.csg-0570_138,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 138r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 138."
urn:cite:ecod:codsang570.csg-0570_139,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 139r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 139."
urn:cite:ecod:codsang570.csg-0570_140,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 140r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 140."
urn:cite:ecod:codsang570.csg-0570_141,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 141r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 141."
urn:cite:ecod:codsang570.csg-0570_142,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 142r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 142."
urn:cite:ecod:codsang570.csg-0570_143,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 143r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 143."
urn:cite:ecod:codsang570.csg-0570_144,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 144r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 144."
urn:cite:ecod:codsang570.csg-0570_145,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 145r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 145."
urn:cite:ecod:codsang570.csg-0570_146,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 146r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 146."
urn:cite:ecod:codsang570.csg-0570_147,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 147r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 147."
urn:cite:ecod:codsang570.csg-0570_148,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 148r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 148."
urn:cite:ecod:codsang570.csg-0570_149,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 149r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 149."
urn:cite:ecod:codsang570.csg-0570_150,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 150r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 150."
urn:cite:ecod:codsang570.csg-0570_151,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 151r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 151."
urn:cite:ecod:codsang570.csg-0570_152,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 152r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 152."
urn:cite:ecod:codsang570.csg-0570_153,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 153r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 153."
urn:cite:ecod:codsang570.csg-0570_154,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 154r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 154."
urn:cite:ecod:codsang570.csg-0570_155,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 155r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 155."
urn:cite:ecod:codsang570.csg-0570_156,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 156r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 156."
urn:cite:ecod:codsang570.csg-0570_157,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 157r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 157."
urn:cite:ecod:codsang570.csg-0570_158,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 158r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 158."
urn:cite:ecod:codsang570.csg-0570_159,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 159r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 159."
urn:cite:ecod:codsang570.csg-0570_160,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 160r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 160."
urn:cite:ecod:codsang570.csg-0570_161,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 161r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 161."
urn:cite:ecod:codsang570.csg-0570_162,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 162r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 162."
urn:cite:ecod:codsang570.csg-0570_163,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 163r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 163."
urn:cite:ecod:codsang570.csg-0570_164,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 164r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 164."
urn:cite:ecod:codsang570.csg-0570_165,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 165r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 165."
urn:cite:ecod:codsang570.csg-0570_166,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 166r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 166."
urn:cite:ecod:codsang570.csg-0570_167,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 167r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 167."
urn:cite:ecod:codsang570.csg-0570_168,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 168r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 168."
urn:cite:ecod:codsang570.csg-0570_169,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 169r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 169."
urn:cite:ecod:codsang570.csg-0570_170,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 170r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 170."
urn:cite:ecod:codsang570.csg-0570_171,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 171r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 171."
urn:cite:ecod:codsang570.csg-0570_172,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 172r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 172."
urn:cite:ecod:codsang570.csg-0570_173,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 173r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 173."
urn:cite:ecod:codsang570.csg-0570_174,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 174r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 174."
urn:cite:ecod:codsang570.csg-0570_175,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 175r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 175."
